Island,Group,Atoll,island_abbreviation,atoll_abbreviation,island_snake,lat,lon,rats_f,size,nonf,wetl,natf,mish,sava,beac,nonf_percent,wetl_percent,natf_percent,mish_percent,sava_percent,beac_percent,Ardenna.pacifica,Puffinus.bailloni,Phaethon.lepturus,Phaethon.rubricauda,Sula.dactylatra,Sula.sula,Sula.leucogaster,Fregeta.minor,Fregeta.ariel,Thalasseus.bergii,Sterna.dougallii,Sterna.sumatrana,Sternula.albifrons,Onychoprion.anaethetus,Onychoprion.fuscatus,Anous.stolidus,Anous.tenuirostris,Gygis.alba,dist,inha,seabird_sp,seabird_abundance,Island_duplicates,forage_avail_2022,forage_avail_2023,forage_access_2022,forage_access_2023,forage_avail_mean,forage_access_mean,RFB_veg,RFB_veg_percent
Pierre,Peros Banhos West,Peros Banhos,PIER,PEBA,pierre,-5.293178,71.737468,present,150,67.5,0,5,37.5,37.5,2.5,45,0,3.3333333333333335,25,25,1.6666666666666667,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,0,3,13,Pierre,40,43,82.82808948162567,91.95436324069033,41.5,87.391226361158,42.5,28.333333333333332
Petite Mapou,Peros Banhos West,Peros Banhos,PETM,PEBA,petite_mapou,-5.273466,71.747108,present,10,7.4,0,0.5,2,0,0.1,74,0,5,20,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,2,3,0,3,29,Petite Mapou,38,43,82.13340747327649,93.51881050531182,40.5,87.82610898929416,2.5,25
Grand Mapou,Peros Banhos West,Peros Banhos,GRAM,PEBA,grand_mapou,-5.265448,71.751033,present,19.5,16.56,0,0.1,2.8,0,0,84.9230769230769,0,0.5128205128205128,14.358974358974358,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,15,10,3,0,4,45,Grande Mapou,38,43,81.16772988243353,93.2608035908346,40.5,87.21426673663407,2.9,14.87179487179487
Diamant,Peros Banhos West,Peros Banhos,DIAM,PEBA,diamant,-5.253804,71.762402,present,88.5,70.8,4.42,1.77,7.08,0,4.43,80,4.994350282485875,2,8,0,5.005649717514124,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,15,10,3,1,4,57,Diamant,37,43,81.901986497333,91.70404273645572,40,86.80301461689436,13.27,14.994350282485875
Passe (PEBA),Peros Banhos West,Peros Banhos,PASP,PEBA,passe_peba,-5.241879,71.816026,present,21.8,18.6,0,2.3,0.2,0.2,0.5,85.3211009174312,0,10.55045871559633,0.9174311926605504,0.9174311926605504,2.2935779816513757,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,15,40,15,2,0,4,124,Passe,41,45,86.70812656110733,89.28487254231032,43,87.99649955170884,2.5,11.46788990825688
Moresby,Peros Banhos West,Peros Banhos,MORE,PEBA,moresby,-5.237077,71.82647,present,31.6,20.3,3.5,6.6,1,0,0.2,64.24050632911393,11.075949367088606,20.886075949367086,3.164556962025316,0,0.6329113924050633,0,0,1,0,0,540,0,0,0,14,0,0,0,0,0,45,105,25,2,0,6,730,Moresby,41,45,85.80827572454166,89.78743948442296,43,87.79785760448232,11.1,35.12658227848101
Saint Brandon,Peros Banhos East,Peros Banhos,SABR,PEBA,saint_brandon,-5.248639,71.834052,absent,0.25,0,0,0,0,0,0.25,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,Saint Brandon,41,45,84.92771717581611,88.62970861634587,43,86.77871289608099,0,0
Parasol,Peros Banhos East,Peros Banhos,PARA,PEBA,parasol,-5.263843,71.84394,absent,9.6,0,0,2.8,2.5,3.1,1.2,0,0,29.166666666666668,26.041666666666668,32.29166666666667,12.5,0,0,0,0,0,96,1,0,0,0,0,0,0,3,37500,30,140,10,2,0,7,37780,Parasol,43,45,83.68160016160313,87.2543010203442,44,85.46795059097366,5.3,55.208333333333336
Longue,Peros Banhos East,Peros Banhos,LONG,PEBA,longue,-5.269437,71.871046,absent,21.6,0,0,9,8,1.5,3.1,0,0,41.666666666666664,37.03703703703704,6.944444444444444,14.351851851851851,0,0,0,0,0,490,3,0,0,0,0,0,0,0,48000,140,1100,25,2,0,6,49758,Longue,44,45,80.2465960378176,85.47006775825486,44.5,82.85833189803623,17,78.7037037037037
Grand Bois Mangue,Peros Banhos East,Peros Banhos,GRBM,PEBA,grand_bois_mangue,-5.270935,71.885597,absent,13.5,0,0,5.4,4.9,1.6,1.6,0,0,40,36.2962962962963,11.851851851851851,11.851851851851851,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,50,2000,10,2,0,4,2187,Grand Bois Mangue,44,46,79.05820353589071,84.26015349109208,45,81.6591785134914,10.3,76.2962962962963
